indicator,Artificial structures,Oil platforms,Artificial reefs,Artificial structures
units ,number present,number present,number present,net rate of change in number 
extent,Gulf wide,Gulf wide,Gulf wide,Gulf wide
1942,2,1,1,0
1943,3,1,2,1
1944,3,1,2,0
1945,3,1,2,0
1946,3,1,2,0
1947,5,3,2,2
1948,9,7,2,4
1949,18,16,2,9
1950,25,23,2,7
1951,29,27,2,4
1952,35,33,2,6
1953,43,41,2,8
1954,65,63,2,22
1955,94,92,2,29
1956,136,134,2,42
1957,187,185,2,51
1958,270,268,2,83
1959,355,353,2,85
1960,468,464,4,113
1961,577,573,4,109
1962,704,700,4,127
1963,795,791,4,91
1964,929,921,8,134
1965,1063,1052,11,134
1966,1181,1170,11,118
1967,1313,1302,11,132
1968,1425,1414,11,112
1969,1542,1531,11,117
1970,1662,1650,12,120
1971,1763,1751,12,101
1972,1915,1896,19,152
1973,2014,1992,22,99
1974,2075,2045,30,61
1975,2147,2112,35,72
1976,2245,2199,46,98
1977,2347,2294,53,102
1978,2495,2439,56,148
1979,2635,2577,58,140
1980,2798,2715,83,163
1981,2960,2859,101,162
1982,3170,3041,129,210
1983,3341,3176,165,171
1984,3514,3346,168,173
1985,3748,3505,243,234
1986,3846,3582,264,98
1987,4082.585392,3675,407.585392,236.585392
1988,4283.944146,3742,541.944146,201.358754
1989,4551.661654,3844,707.6616541,267.7175081
1990,4672.359828,3911,761.3598281,120.698174
1991,4841.11493,3949,892.1149301,168.755102
1992,5141.644468,3932,1209.644468,300.5295381
1993,5466.87218,3882,1584.87218,325.2277121
1994,6833.688507,3934,2899.688507,1366.816326
1995,7851.371643,3947,3904.371643,1017.683137
1996,8258.561761,3979,4279.561761,407.1901181
1997,8783.73362,3947,4836.73362,525.1718582
1998,9477.49087,4019,5458.49087,693.7572502
1999,10082.09667,3980,6102.09667,604.6058002
2000,10436.92803,3988,6448.928034,354.8313642
2001,10753.30612,4039,6714.306122,316.3780881
2002,10839.57035,4017,6822.570354,86.26423199
2003,11076.15575,3967,7109.155746,236.585392
2004,11528.57143,3904,7624.571428,452.415682
2005,13042.48228,3893,9149.482277,1513.910849
2006,13878.22127,3897,9981.221267,835.7389904
2007,14746.7884,3831,10915.7884,868.5671321
2008,15207.12997,3756,11451.12997,460.3415682
2009,15223.88507,3554,11669.88507,16.75510202
2010,15221.47046,3365,11856.47046,-2.414607972
2011,15205.35768,3089,12116.35768,-16.11278194
2012,15029.35768,2813,12216.35768,-176
2013,15203.62191,2606,12597.62191,174.264232
2014,15135.62191,2424,12711.62191,-68
2015,15127.62191,2300,12827.62191,-8
