indicator,Species richness,Species richness,Species diversity,Species richness,Species richness,Species diversity,Species richness,Species richness,Species diversity,Species richness,Species richness,Species diversity
units ,number of species,Margalef's d,Shannon-Weiner index,number of species,Margalef's d,Shannon-Weiner index,number of species,Margalef's d,Shannon-Weiner index,number of species,Margalef's d,Shannon-Weiner index
extent,fall Louisiana,fall Louisiana,fall Louisiana,fall Texas,fall Texas,fall Texas,summer Louisiana,summer Louisiana,summer Louisiana,summer Texas,summer Texas,summer Texas
1987,64,5.367,3.177,49,5.699,2.92,60,4.861,2.755,57,4.873,2.469
1988,65,5.017,2.054,55,5.157,2.978,64,4.944,2.427,57,4.982,2.738
1989,65,5.294,3.45,60,6.075,3.348,60,4.68,2.402,56,5.154,2.917
1990,64,5.289,3.622,54,5.11,2.857,59,4.67,2.959,60,5.351,2.746
1991,64,5.219,2.935,58,5.228,2.199,64,5.083,3.338,57,4.732,2.945
1992,64,5.362,2.939,57,5.61,2.732,63,4.999,3.264,59,4.683,2.803
1993,63,5.155,2.669,59,5.191,2.744,64,4.972,2.829,59,5.01,2.577
1994,61,4.924,2.746,56,5.027,3.2,62,4.795,3.033,60,4.85,2.156
1995,60,4.927,3.098,56,5.016,2.875,60,4.732,3.052,55,4.667,2.868
1996,61,5.006,2.912,57,4.735,1.746,60,4.801,3.207,56,4.56,3.268
1997,61,4.793,2.463,57,4.904,2.425,61,4.639,2.861,59,5.257,2.808
1998,62,5.142,2.801,58,5.19,3.032,60,4.618,2.882,54,4.451,3.083
1999,62,5.093,2.517,57,4.707,1.843,62,4.951,2.828,56,4.841,2.962
2000,64,5.097,2.782,59,5.256,3.023,62,4.891,3.091,57,4.81,3.027
2001,58,4.792,2.991,56,4.835,2.607,61,4.904,2.782,56,4.947,2.532
2002,60,4.866,2.697,54,4.671,2.516,60,5.025,3.195,56,4.771,3.06
2003,63,5.385,3.273,54,4.7,2.926,62,4.986,2.94,56,4.651,2.926
2004,60,4.974,2.941,55,4.786,2.416,60,4.978,3.09,58,4.901,2.875
2005,59,4.83,2.956,56,4.889,2.463,62,4.88,3.16,56,4.865,3.005
2006,62,4.827,2.265,55,4.891,3.207,61,4.798,2.505,57,4.859,2.798
2007,60,4.977,2.862,57,5.085,2.543,64,5.029,2.676,59,4.879,2.639
2008,59,4.695,1.843,54,4.747,2.313,61,4.713,2.536,56,4.584,2.724
2009,60,4.667,1.966,55,4.862,3.033,61,4.733,2.496,55,4.904,3.049
2010,60,4.675,1.95,53,4.921,2.787,61,4.561,2.304,53,4.739,2.807
2011,59,4.558,1.991,54,5.14,3.091,61,4.597,2.117,52,4.443,2.855
2012,57,4.545,2.086,55,5.205,2.794,61,4.788,2.699,56,4.81,2.895
2013,61,5.179,2.389,48,4.626,2.879,59,4.72,2.593,53,4.738,2.771
2014,60,5.176,2.13,52,4.835,2.722,62,5.051,2.961,54,4.931,2.667
2015,59,4.79,2.406,50,4.752,2.857,59,4.721,2.696,53,4.898,2.958
