indicator,Commercial landings,Commercial revenues,Commercial revenues
units ,thousands of metric tons,millions of dollars (2009 dollars),millions of dollars
extent,Gulf wide,Gulf wide,Gulf wide
1950,258.84,366.3728265,50.357945
1951,294.69,432.3399361,63.623145
1952,344.51,455.6557975,68.220786
1953,344.46,561.8338523,85.157157
1954,342.33,474.3903582,72.572237
1955,376.32,490.306877,76.286847
1956,408.13,530.5921571,85.377584
1957,313.86,507.4509113,84.363714
1958,366.89,509.023928,86.539158
1959,523.88,450.4255439,77.639851
1960,574.23,489.0038853,85.458319
1961,624.65,427.4157168,75.520083
1962,652.4,541.9014425,96.924492
1963,636.86,559.1679345,101.142296
1964,603.89,568.7885114,104.463698
1965,663.51,606.0770452,113.348529
1966,542.02,635.4503615,122.178041
1967,533.56,636.60047,125.957769
1968,584.6,671.975629,138.608413
1969,732.17,703.639659,152.281695
1970,736.01,723.1801396,164.769363
1971,950.82,831.409891,199.047842
1972,720.26,898.5940227,224.450815
1973,700.23,1012.396795,266.634944
1974,805.5,843.9046267,242.225945
1975,750.27,862.7992698,270.582479
1976,790.45,1168.070668,386.432819
1977,672.43,1162.318258,408.38052
1978,1013.7,1289.217518,484.771571
1979,951.97,1348.08188,548.75021
1980,878.59,1144.174198,507.750184
1981,762.45,1167.811906,566.622337
1982,1042.54,1210.758779,623.903999
1983,1141.71,1182.600541,633.45998
1984,1195.21,1196.017582,663.383112
1985,1096.33,1087.240482,622.336452
1986,1073.62,1382.114878,807.085983
1987,1148.98,1286.58771,770.47305
1988,863.83,1152.354229,714.252198
1989,807.73,1075.20514,692.346094
1990,752.85,999.4258787,667.346642
1991,758.54,987.3373065,681.223248
1992,646.83,929.0778189,655.640926
1993,779.26,864.3272686,624.459165
1994,980.41,1070.976136,790.219742
1995,675.39,1014.642836,764.26957
1996,689.44,932.046908,714.870658
1997,821.76,987.9465467,770.71686
1998,715.01,997.2857835,786.449596
1999,909.21,1028.369939,823.364392
2000,814.39,1217.86152,997.270263
2001,731.73,964.0173078,807.403056
2002,784.22,801.5691918,681.646425
2003,723.89,764.2848504,662.902465
2004,669.12,750.6752166,669.001753
2005,543.5,679.47817,625.038379
2006,617.95,729.0273683,691.220009
2007,636.99,709.0937886,690.210621
2008,580.1,668.8911563,663.847717
2009,651.21,636.427434,636.427434
2010,486.29,617.0939005,624.628617
2011,813.1,785.8841779,811.904803
2012,652.5,708.8619737,745.822037
2013,610.77,880.9793758,941.88148
2014,565.01,974.2875905,1060.297699
2015,710.23,801.8365061,882.00412
