indicator,Principal component 1,Gray triggerfish,Vermilion snapper,Atlantic sharpnose shark,Greater amberjack,Cobia,Hogfish,Gag,Spanish mackerel,King mackerel,Red grouper,Red snapper
units ,51.1% of variance explained,1000s of metric tons,1000s of metric tons,abundance (millions),1000s of metric tons,1000s of metric tons,1000s of metric tons,1000s of metric tons,1000s of metric tons,1000s of metric tons,1000s of metric tons,1000s of metric tons
extent,all species,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico,Eastern Gulf of Mexico,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico
1986,-3.440301788,14.3719,19.9897,27.08654,5.98159,2.03272,1.00975,8.35944,18.3249,24.7864,21.3732,14.2695
1987,-3.562333063,15.3586,19.0374,25.88803,5.32976,2.35276,1.08933,7.94199,14.9751,23.447,20.8881,13.1598
1988,-3.537019183,16.3149,18.3244,23.87226,4.85137,2.26331,1.15044,7.93058,13.1748,22.6095,20.5131,12.6783
1989,-3.388417393,15.9236,17.5923,23.05141,4.31127,2.07001,1.19495,7.4066,13.1274,21.3974,20.3443,12.804
1990,-3.015001153,14.9696,17.184,21.34479,3.45125,2.63227,1.21067,7.38372,14.457,20.5077,19.0309,12.9675
1991,-2.360277022,13.2344,16.4644,19.85009,4.38504,3.37291,1.2598,7.38786,15.6978,21.2786,20.1346,14.9611
1992,-1.949575201,12.1239,15.9497,18.14477,3.48579,3.57215,1.13303,7.31931,16.8163,22.0658,20.6213,16.5967
1993,-1.829324416,11.1449,15.0156,17.46849,3.34043,3.31126,1.09852,7.41402,14.4555,22.6708,20.4061,18.0482
1994,-1.617691225,10.0568,13.9104,17.14248,2.7665,3.73622,1.02014,7.65973,13.3298,23.497,19.7597,18.4248
1995,-1.325046924,9.07813,12.2178,16.32257,2.61683,3.9217,0.990811,8.11743,11.0037,23.9212,19.5793,19.967
1996,-0.945755658,8.17568,11.1487,16.01056,2.76054,4.42055,0.967382,8.27739,11.5019,24.7888,20.0902,20.822
1997,-0.368226946,7.99435,10.6545,15.81036,2.44659,4.62926,1.00762,9.57092,12.5734,26.465,21.1406,21.9488
1998,-0.073033222,8.01188,9.84278,15.47957,2.43988,3.83567,1.01582,10.6008,13.1305,27.3654,21.883,22.0174
1999,0.40883811,8.27982,9.21163,14.88532,2.57275,3.59266,1.0401,10.6377,15.5306,27.9438,24.5499,23.6717
2000,0.613455304,8.73765,9.39184,14.33289,2.92495,3.39306,1.06991,11.282,15.7773,28.9108,26.0898,24.1737
2001,0.57621836,9.29634,10.1192,13.81692,3.53092,3.08924,1.08969,11.3495,16.3483,29.4328,26.9616,24.2302
2002,0.623136586,9.52287,10.1981,13.46373,4.35739,3.17772,1.06893,11.334,16.1385,30.2391,28.7473,24.7535
2003,0.890374549,9.26959,10.4147,13.37086,4.50877,3.02193,1.08122,11.7395,16.3428,32.9093,29.8843,25.194
2004,1.367507167,8.63212,10.1873,13.25261,3.80256,2.68117,0.991025,12.2716,18.0225,35.9421,31.4829,26.6584
2005,1.683964939,7.76803,9.85975,13.43957,3.25412,2.74705,0.939805,11.9373,19.6642,39.4251,31.001,27.5199
2006,0.732971842,7.23608,9.85108,14.19206,2.97221,2.67456,0.959224,5.83453,22.0413,42.6123,21.6218,30.0828
2007,1.135176135,6.98101,10.8274,14.85542,3.02555,2.58843,1.11024,6.29531,22.0989,44.1215,23.5505,32.7883
2008,1.835642551,6.83555,11.0822,15.46835,3.5433,2.80431,1.23967,7.71652,24.2648,44.8614,26.6459,35.2159
2009,2.404443159,6.80525,10.74,16.56668,3.97689,2.97783,1.34115,8.57831,25.2512,44.5972,29.2544,41.2468
2010,3.048172118,6.72403,10.0882,17.37376,4.03987,3.15039,1.4114,10.8358,25.0525,42.9783,31.9715,46.7101
2011,3.694290355,6.56597,10.3574,18.27838,4.03417,3.02982,1.38456,13.2754,28.367,40.7522,34.3934,53.8871
2012,4.181203152,6.08446,10.3389,NA,4.02567,NA,1.40127,15.4922,29.1323,38.0421,35.219,59.6797
2013,4.216608865,5.80025,10.928,NA,NA,NA,NA,NA,NA,NA,34.3675,64.1323
